EL ,Licensee ,Applic. date,Date of grant,Comments on Status as of 2012
756,Savanah Mines Ltd ,28-1-11,21-4-11,"Not gazetted. AC/Geology should segregate duties. No evidence of financial (498,300,000/=), technical and operational resources. Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance."
769,Baracat Minerals Ltd ,21-5-11,,"Exploration program lacks detail. Ag. PIM signs with name of AG/Mines. Not gazette (Gazette notice signed by IOM). Notice to applicant by IOM. IOM instruct AC/Geology to review. IOM advises Ag. Comm to grant EL instead of PIM or SIM. Granted by Ag. PIM. AC/Geology should segregate duties. No evidence of financial (64,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance."
753,Kab Resources Ltd (Balu-Tabaaro),24-2-11,11/4/11,"Exploration program lacks detail. Not gazetted. AC/Geology should segregate duties. No evidence of financial (321,650,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
848,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp), AC/Mines instruct IOM to review instead of PIM or SIM. No gazette notice. No evidence of financial (448,800,000/=), technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. Commissioner signs as AC/Geology as well. Not rectangular in shape. Empty file, no notices of non-compliance"
786,Euro Minerals Ltd (Avinash Patel) ,8/7/11,19-7-11,"Grant by Ag. PIM. AC/Geology should segregate duties. Gazette notice not honored. No evidence of financial (538,062,000/=), technical and operational resources. Not rectangular in shape. Empty file, no notices of non-compliance"
785,Care Moving Investment Ltd (Fred Kayanja),12/4/11,21-7-11,"Grant by Ag. PIM, AC/Geology should segregate duties, Gazette notice not honored, No evidence of financial (820,400,000/=), technical and operational resources, Empty file, no notices of non-compliance"
850,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji) ,,22-9-11,"Not received by DGSM (No stamp), AC/Mines instruct IOM to review instead of PIM or SIM. No gazette notice, No evidence of financial (608,800,000/=), technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. Ag. Commissioner signs as AC/Geology as well. Not rectangular in shape. Empty file, no notices of non-compliance"
819,Sawa Mines Ltd (Samuel Lwasa & Matovu Nkoba),17-1-11,16-8-11,"Ag. PIM grants EL, Notice to gazette not honored, Empty file, no notice of non-compliance, AC/Geology should segregate duties, Shape of EL not rectangular. Empty file no notice of non-compliance"
820,"Some Graphics Ltd (Smuel Etyang, Jonnah Ssemambo).",10/6/11,12/8/11,"Nationality of Directors not given, AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (558,300,000/=), technical and operational resources, Not rectangular in shape, Substandard reports submitted"
821,Some Graphics Ltd,10/6/11,12/8/11,"Directors not given, AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (558,300,000/=), technical and operational resources, Not rectangular in shape, Substandard reports submitted"
823,Some Graphics Ltd (Dr. Samuel Etyang),10/6/11,26-9-11,"Directors not given, AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (558,300,000/=), technical and operational resources, Not rectangular in shape, Substandard reports submitted"
816,Red Apple Ltd (Wang),12/7/11,3/8/11,"Directors give one name and no nationality. AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (900,300,000/=), technical and operational resources, Empty file, no notice of non-compliance"
817,Rift Valley Mineral Ltd (Ssasirwe Jonny & Muruli John),15-7-11,9/8/11,"Directors give one name and no nationality. AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (USD 228,650), technical and operational resources, Not rectangular in shape, Empty file, no notice of non-compliance"
778,Africa Middle East Resources (Denis Kusasira),20-6-11,14-7-11,"AC/Geology should segregate duties, No Gazette notice, AC/mines instructs IOM to review instead of PIM OR SIM, No evidence of financial (1,500,150,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
781,Masaba Exploration Ltd Nathan Walokawo,4/12/08,5/9/11,"AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (250.5million UGX), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
779,African Middle East Resources (Denis Kusasira),4/7/11,14-7-11,"AC/Geology should segregate duties, No Gazette notice, AC/mines instructs IOM to review instead of PIM OR SIM, No evidence of financial (2,000,000,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
783,Jo Santos Investments Amu Grace,23-5-11,21-7-11,"AC/Geology should segregate duties, Ag. PIM granted EL, No Gazette notice, AC/mines instructs IOM to review instead of PIM OR SIM, No evidence of financial (678,300,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
784,Jo Santos Investments Amu Grace,12/4/11,21-7-11,"Not stamped by CAO front page. AC/Geology should segregate duties, Ag. PIM granted EL, No Gazette notice, Transfer of interest with no exploration undertaken at all to Anglo African Gold Mining Ltd (PIM signed). No evidence of financial (820,000,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
806,Gold Hunters Ltd (Denis Kusasira & Jimmay Katumba),,25-7-11,"Not received by DGSM (Lacks stamp), AC/Geology should segregate duties, AC/Mines instructs IOM to review and advise, Transfer of interest with no exploration undertaken at all to Hursha Mining Company Limited (PIM signed). No Gazette notice, No evidence of financial (498,800,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
774,Geo Resources Ltd (Tommy Murungi),6/1/11,6/7/11,"AC/Geology should segregate duties, AC/Mines instructs IOM to review and advise, Gazette notice not complied with. No evidence of financial (289,900,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
770,Kamuntu Moses,30-5-11,14-6-11,"AC/Geology should segregate duties, Ag. PIM granted EL, No Gazette notice, Transfer of interest with no exploration undertaken at all to Sino Minerals Investment Company Limited, No evidence of financial (USD 380,000), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
,Steel Rolling Mills Ltd,17-5-11,27-6-11,"AC/Geology should segregate duties, Gazette notice not complied with, No evidence of financial (774,700,000/=), technical and operational resources, Substandard reports (lack of technical resources), Not rectangular in shape, No return, no notice of non-compliance"
775,Africa Metals Ltd,27-6-11,1/7/11,"Notice to gazette not complied with. AC/Geology should segregate duties, Transfer of interest with no exploration undertaken at all to First Mining Company Limited (Ag. PIM). No Gazette notice, No evidence of financial (260,000,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
807,Gold Hunters Ltd Dennis Kusasira & Jimmy Katumba,,25-11-11,"Not received by DGSM (Lacks stamp), AC/Geology should segregate duties, AC/Mines instructs IOM to review and advise, Transfer of interest with no exploration undertaken (7-2-12). No Gazette notice, No evidence of financial (498,800,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
808,Gold Hunters Ltd Dennis Kusasira & Jimmy Katumba,,25-7-11,"Not received by DGSM (Lacks stamp), AC/Mines instructs IOM to review and advise, Transfer of interest with no exploration undertaken (7-2-12). No Gazette notice, No evidence of financial (498,800,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
809,Gold Hunters Ltd Dennis Kusasira & Jimmy Katumba,,25-7-11,"Not received by DGSM (Lacks stamp), AC/Mines instructs IOM to review and advise, Transfer of interest with no exploration undertaken (7-2-12). No Gazette notice, No evidence of financial (498,800,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
811,Gold Hunters Ltd Dennis Kusasira & Jimmy Katumba,,28-7-11,"GRANT WAS NOT CONSENTED BY COMM (COMM RECOMMENDATION MISSING). AC/Geology should segregate duties, Not received by DGSM (Lacks stamp), AC/Mines instructs IOM to review and advise, Transfer of interest with no exploration undertaken to Hursha Mining Company Ltd (7-2-12). No Gazette notice, No evidence of financial (658,800,000/=), technical and operational resources, Not rectangular in shape, No return, no notice of non-compliance"
768,Method Construction Company Limited,16-5-11,10/6/11,"Licence granted by Ag. PIM, Not gazetted, AC/Geology should segregate duties, No evidence of financial (us$ 200,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
767,Uganda Mineral Resources (Rev. Bangumya Stephen),2/5/11,10/6/11,"Licence granted by Ag. PIM, Not gazetted, AC/Geology should segregate duties, No evidence of financial, technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
765,VEK Global Mining ,2/5/11,10/6/11,"Licence granted by Ag. PIM, Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 400,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
764,William Babigumira,,,"Licence granted by Ag. PIM, Ag. PIM instructs AC/Geology to review, Ag. PIM ignores technical query from Geology Division, Exploration program authored from DGSM, Not gazetted, AC/Geology should segregate duties, No evidence of financial (800,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. No notice of non-compliance."
763,Whoworld Investment Ltd (Patel Hitesh),14-1-11,27-5-11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (594,700,000/=), technical and operational resources, Transferred with no exploration activity undertaken. Ag. PIM sign transfer on behalf of Commissioner. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports)."
761,Hilltop Minerals & Metals Ltd (Sameer Rahim),28-2-11,29-4-11,"Ag. PIM instructs AC/Geology to review. Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,196,254,000/=), technical and operational resources, Transferred with no exploration activity undertaken. Ag. PIM sign transfer on behalf of Commissioner. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance."
724,Femet (U) Ltd (Jimmy Katumba),27-1-11,15-2-11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (530,000,000/=), technical and operational resources, Transferred (Kristah Mining Ltd) with no exploration activity undertaken. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance."
723,Femet (U) Ltd (Jimmy Katumba),27-1-11,15-2-11,"IOM instructs AC/Geodata to review. Not gazetted. AC/Geology should segregate duties. No evidence of financial (530,000,000/=), technical and operational resources. Transferred (Kristah Mining Ltd) with no exploration activity undertaken. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
721,Professional Associates Ltd ,3/1/11,4/2/11,"Not gazetted, AC/Geology should segregate duties, AC/Mines instructs IOM to review and advise instead of PIM or SIM. No evidence of financial (528,600,000/=), technical and operational resources, Transferred with no exploration activity undertaken (Transfer signed before issuance of licence??). Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
720,Bernald Kazura,10/11/11,19-1-11,"Not gazetted, AC/Geology should segregate duties, IOM reviews geological reports instead of Geology Division. No evidence of financial (400,000,000/=), technical and operational resources, No notice of non-compliance"
719,Steel Rolling Mills Ltd (Abid Alam),29-12-10,14-1-11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (1,649,700/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
717,Megha Minerals & Mines Ltd ,24-11-10,13-1-11,"Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (498,300,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
716,Megha Minerals & Mines Ltd ,24-11-10,13-1-11,"Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (498,300,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
715,Megha Minerals & Mines Ltd,24-11-10,13-1-11,"Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (498,300,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). Notice of non-compliance ignored (13-3-2012)."
714,Whoworld Investment Ltd,24-11-10,13-1-11,"Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (609,700,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice of non-compliance"
713,East African Industry Minerals Ltd,21-12-10,17-1-11,"Lacks names of Directors,Incomplete forms (funds committed), Exploration program authored from DGSM, Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (528,600,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). Relationship with Gulf Resources not known as reports for the latter are filled here."
712,Mineral Access System Uganda Ltd,9/11/10,13-1-11,"Not gazetted, AC/Mines instructs IOM to review and advise instead of PIM or SIM, AC/Geology should segregate duties, No evidence of financial (3,391,315,320/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily, No notice of non-compliance."
709,Gemstone International Ltd ,10/8/10,6/1/11,"Exploration program lacks detail, Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 150,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No notice of non-compliance."
707,AUC Mining (U) Ltd (Moses Masagazi) ,4/1/10,14-12-10,"Exploration program lacks detail, EL granted for two years, Not gazetted, AC/mines instructs IOM to review instead of PIM or SIM. AC/Geology should segregate duties, No evidence of financial (US$ 160,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No notice of non-compliance."
708,Gemstone International Ltd (British Directors) ,10/8/10,6/1/11,"Exploration program lacks detail, Not gazetted, AC/mines instruct IOM to deal instead of PIM or SIM. AC/Geology should segregate duties, No evidence of financial (US$ 150,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), No notice of non-compliance."
705,Cozumell Energy (U) Ltd (Peter Mukisa),27-10-10,29-11-10,"Not gazette, Reviewed only by AC/labs only yet there are technical people in geology and mines well conversant with geothermal. IOM instruct AC/Geology to deal. AC/Geology should segregate duties, No evidence of financial (US$ 3,000,000), technical (geothermal energy) and operational resources, Expenditure and reporting conditions not complied with. No notice of non-compliance."
704,Esimo Ind Ltd (Pravin Ghelan),26-10-10,14-12-10,"No gazette, AC/Geology should segregate duties, No evidence of financial (US$ 257,690), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports by Geologist Trainees). No notice of non-compliance"
703,Megha Minerals & Mines Ltd ,4/10/10,18-11-10,"No gazette,AC/Geology should segregate duties, No evidence of financial (465,300,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports by Geologist Trainees). Notice of non-compliance (13-3-12 & 10-4-12)"
701,Burungi Joyce ,11-10-1-,15-11-10,"No gazette, AC/Geology should segregate duties, No evidence of financial (USD 204,650), technical and operational resources, Expenditure and reporting conditions not complied with (empty file), No Notice of non-compliance "
TIN 1296,,30-3-12,,"Office Messenger instructs Accounts to prepare BAF. Exploration program authored from DGSM, No gazette, AC/Geology should segregate duties, No evidence of financial (1,396,550,000), technical and operational resources"
731,Berkeley Reef Ltd (Richard Kaijuka),29-9-10,23-3-11,"No gazette, AC/Geology should segregate duties, No evidence of financial (252,600,000/=), technical and operational resources, Transferred with no exploration work undertaken at all. Expenditure and reporting conditions not complied with (empty file), No Notice of non-compliance"
732,Berkeley Reef Ltd  (Richard Kaijuka),29-9-10,11/3/11,"No gazette, AC/Geology should segregate duties, No evidence of financial (170,200,000/=), technical and operational resources, Transferred with no exploration work undertaken at all. Expenditure and reporting conditions not complied with (empty file), No Notice of non-compliance"
733,Universal Empire Infrastructure Ltd ,25-11-10,25-3-11,"No gazette, AC/Geology should segregate duties, No evidence of financial (385,336,000/=), technical and operational resources, Expenditure and reporting conditions not complied with, Notice of non-compliance by AC/Geology (5-4-12)"
734,Universal Empire Infrastructure Ltd,25-11-10,30-5-2011,"AC/mines instruct IOM to handle instead of PIM or SIM, No gazette, AC/Geology should segregate duties, No evidence of financial (406,798,000/=), technical and operational resources, Expenditure and reporting conditions not complied with, No notice of non-compliance"
735,Great lakes Cement Ltd ,11/2/11,25-3-11,"No gazette, AC/Geology should segregate duties, No evidence of financial (528,600,000/=), technical and operational resources, Expenditure and reporting conditions not complied with, No notice of non-compliance"
651,Hard Rock Engineering Ltd (Erisa Mwesige),24-5-10,18-6-10,"No gazette, Authenticity of CAO’s stamp?, IOM advises AC/mines instead of PIM or SIM. AC/Geology should segregate duties, No evidence of financial (781,750,000/=), technical and operational resources, Expenditure and reporting conditions not complied with, No notice of non-compliance, Verbal communication to licensee noted here."
EL0893,John Mary Muyambi Jr.,1/11/11,8/11/11,"Not in gazette, No evidence of financial (460,000,000/=), technical and operational resources, Transferred to Sino minerals investments company limited on 29-212-11 with no exploration undertaken, Empty file ever since."
EL0892,John Mary Muyambi Jr,1/11/11,8/11/11,"Not in gazette, No evidence of financial (460,000,000/=), technical and operational resources, Transferred to Sino minerals investments company limited on 29-212-11 with no exploration undertaken, Empty file ever since"
EL099,Russian African Foundation Science Culture and Economic Developments,"17-8-11, 12-10-11",,"No evidence of financial (900,300,000/=), technical and operational resources, Granted by Ag. PIM, Not gazette, Returns (no assessment report(), AC/geology should segregate duties, Two staff in geology giving different version of work program, need for guidelines, to avoid frustrating investors. (a) Quarterly report submitted but no action on part of GSMD"
EL0897,Aurua Green Metals Ltd,3/11/11,29-11-11,"Granted by Ag. PIM, No notice to gazette, Not in gazette, No evidence of financial (503,000,000/=), technical and operational resources, Empty file, no non-compliance notice"
EL0898,Namitala Irene,16-9-11,29-12-11,"Granted by Ag. PIM, No evidence of financial (US$329,484.63), technical and operational resources, No notice to gazette, Not in gazette, Ac/Geology did not segregate duties. Empty file, no assessment reports no returns."
LL0379,Kisoro Financial Services Ltd (Dr. Nsaba Buturo),2/10/08,23-10-08,"Incomplete form, Name of Directors not known, Notice of grant in gazette, Renewed with no returns, Not gazette after renewal, no returns, No royalty"
LL0375,Bakaluba Technical Services,7/8/08,17-9-08,"Incomplete application form, Name and nationality of Directors not given, Gazette notice not honoured, No notice non compliance, No enforcement action, empty file, no return , no royalty paid evidence. Grant was not approved by Commissioner, license already expired."
LL0818,M/s Kamunutu Moses,8/7/11,5-811,"AC/Geology was left out in review, No evidence of financial (126,000,000/=) resources, Amount is substantial for Location Licence (section 54 (2), Empty file, no notice of non-compliance."
LL0674,Loeding Aweri Development Enterprises Ltd,15-7-10,5/8/10,"Not in gazette, Empty file no return, AC/Geology does not segregate duties, AC/M instructs IOM review and advise"
LLO128,Ahmed Elias,31-7-06,11/8/06,"Not in gazette, No return, Renewed not in gazette again, Renewed a third time no return, no gazette, Empty file, no return for six yearsa, Renewal process involved only ACM"
EL 0890,Gids Consults Limited (Ahimbisibwe Benard),16-6-10,,"Exploration Program not original, Evidence of financial resources (440,000,000/=), Granted by PIM, no gazette, empty file, Ignoring advise from others"
LLO205,Kaolin Uganda Ltd ,5/4/07,13-8-07,"In gazette, Renewed with no return, Renewed again, Processing was not inclusive, Geology was not involved "
LLO970,Charles Kanabahita,17-2-12,26-3-12,"Notice to gazette not honored. Not Inclusive, AC/Geology was not instructed to review, No evidence of financial (15,000,000/=) resources. Amount is substantial for Location Licence (section 54 (2) "
LL0450,Long Latitude Mining Company Ltd,,,"No returns, No evidence of royalty paid, No sign of activity, No non-compliance notice. (a) The application was not filled by the same person, items 1,2,4 and 15 by one person, and items 3,5,6,7,8,9,10,11,12,13 and 14 by another person.(b) Item 6 on the application require submission of Memorandum and Articles of Association. It is stated lodged with GSMD but it is not on file.(c) Comment by CAO that forwarded is not sufficient.(d) There are no returns submitted and no work done since 2009."
LL0789,Kamuntu Moses ,8/7/11,21-7-11,"Review process leaves out AC/Geology (no standard review procedure), Too much capital for location license (126,000,000/=). Amount is substantial for Location Licence (section 54 (2), No evidence of financial resources, Incomplete form (section 4), Mineral applied for gold & base metals but mining iron ore. Notice to gazette no reply"
LL0429,,,,"Granted by PIM. No evidence of royalty paid. Review process leaves out AC/Geology (no standard review procedure), License cancelled 20th October 2009. Empty file, No evidence of royalty paid"
LL0929,Kibito Transporters and Construction Company,,,"Granted by IOM, Review process leaves out AC/Geology (no standard review procedure), Notice to gazette ignored"
LL0935,Godfrey Luwaga,9/1/12,7/2/12,AC/Geology should segregate duties. No retunrs / no royalties (sand).
LL0449,Kibito Transporters and Construction Company,1/6/09,12/6/09,"Notice to gazette ignored, Return  lodged,No evidence of paid royalty, Wrong returns filed (KCCL & Marubeg)"
LLO450,"Wilson Bitibyampasha, Ntungamo",18-3-09,19-6-09,"No evidence of financial resources, Gazette notice ignored, Transferred to Tao Jian Long Latitude Mining Company Limited, Application for renewal, no returns, Renewed 20-5-11, second gazette notice no reply, No evidence of paid royalty. No inspection report to monitor mining. No non-compliance report"
Ll0414,Amos George Mftite Basaza,24-10-08,12/1/09,"Not in gazette, Renewed with no returns, no royalties,Not in gazette again, no returns, no reason, no non compliance notes, Processing not inclusive, only AC/Mines and PSC, NOT GEOLOGY, AC/Mines delegates IOM instead of SIM or PIM"
LL0380,Nawata Mines Ltd ,12/8/08,23-10-08,"Not in gazette, Returns submitted, Renewed, Grant was not approved by Commissioner (B9-, B10)"
LL0413,Amos George Mfite Basaza,24-10-08,12/1/09,"Not in gazette, Hima deducts roayalties from its mineral dealers and pays government directly as per outstanding instruction from DGSM, Renewed no gazette, Review not inclusive only geodata and mines, Segregation of duties from AC/Mines to IOM"
LL0419,African Minerals ltd,11/11/08,22-1-09,"Incomplete form, Not in gazette, Letter confirming good standing? Renewed with no return, Not gazette second time, no return, empty file since April 2011, Review process not inclusive, did not involve Geology Division only, PSC and ACM, ACM instructs IOM to deal accordingly instead of PIM or SIM"
LLO418,African Minerals ltd,11/11/08,22-1-09,"Not in gazette, Notice of non-compliance given, No enforcement action, Letter confirming good standing?, Renewed, no gazette, Review process not inclusive, did not involve Geology Division only, PSC and ACM, ACM instructs IOM to deal accordingly instead of PIM or SIM"
LL0699,Nicewood logistics Ltd ,"17-8-10, 4-1010",21-1-10,"Granted by Ag. PIM, Not in gazette, AC/geology should segregate duties, AC/Mines instructs IOM to review and advise instead of PIM or SIM, Empty file, no return, no notice of non-compliance"
LL0700,Nicewood logistics Ltd,30-9-10,21-10-10,"Granted by Ag. PIM, Not in gazette, Empty file, no return, no notice of non-compliance, Processing not inclusive, geology not involved, AC/Mines instructs IOM to review instead of SIM or PIM,  Empty file, no return, no notice of non-compliance"
LL0427,Great Lakes Cement Ltd (Benon Tomusange),11/11/08,20-2-09,"Review process leaves out AC/Geology (no standard review procedure), Gazette notice ignored. Noncompliance notice given, no reply, License renewed despite ignoring noncompliance notice, No evidence of royalty paid for marble being extracted."
LL0428,Great Lakes Cement Ltd (Benon Tomusange),11/11/08,20-2-09,"Review process leaves out AC/Geology (no standard review procedure), Gazette notice ignored twice. Noncompliance notice given, no reply, License renewed despite ignoring noncompliance notice, No evidence of royalty paid for marble being extracted"
LL0429,Harambe Africa (U) Ltd (Siraje Mwenyi Bukenya) ,11/11/08,20-2-09,Gazette notice ignored. No evidence of royalty paid for marble being extracted
LL0503,Muhamudu Abdulu,4/8/09,2/9/09,"Too much capital for location license (12,000,000/=) Amount is substantial for Location Licence (section 54 (2), Gazette notice ignored. Transferred with no returns submitted. Renewed with no returns no royalty paid. AC/geology should segregate duties to junior "
LL0453,Wilson Bityibyampasa,18-3-09,19-6-09,"Gazette notice ignored twice. Transferred with no returns submitted. No non-compliance notice, Renewed with no returns no royalty paid. AC/mines instructs IOM to review ignoring PIM or SIM, No evidence of royalty paid for marble being extracted"
LL0878,Africombs Ltd ,20-7-11,8/12/11,"Gazette notice ignored, Review process leaves out AC/Geology (no standard review procedure), No returns, no non-compliance notice."
LL0871,Egency International Ltd,28-7-11,19-10-11,"Granted by PIM, Gazette notice ignored, Review process leaves out AC/Geology (no standard review procedure), Empty file, no returns, no notice of non-compliance. (a) The applicant be asked to gazette(b) Reason for not renewing must be given, otherwise check to establish whether not issued.(c) Why was renewal not effected, need an explanation"
LL0969,John Mary Muyambi,,22-3-12,"Gazette notice ignored, Review process leaves out AC/Geology (no standard review procedure), No returns yet."
LL0912,Simba Mines Ltd ,6/12/11,15-12-11,"PIM granted licence, Gazette notice ignored by licensee, No returns yet"
LL0896,Muyambi John Mary (Jr),7/1/11,1/12/11,"Gazette notice ignored by licensee, Review process leaves out AC/Geology (no standard review procedure), Prospecting licence granted by IOM, No returns, no notice of non-compliance"
LL0895,Muyambi John Mary (Jr),5/10/11,1/12/11,"Prospecting licence granted by IOM for Commissioner. Notice to gazette no reply from licensee, Review process leaves out AC/Geology (no standard review procedure), No returns, no notice of non-compliance"
LL0710,"Mate Mines Ltd (Luwandaga Ismail, kaolin Buhwejhu)",25-11-10,20-12-10,"No notice to gazette, Review process leaves out AC/Geology (no standard review procedure), Returns submitted but royalty (may be Hima deducts it when licensee supplies kaolin)"
LL0730,Mate Mines Ltd (Luwandaga Ismail),30-8-10,29-4-11,"Review process leaves out AC/Geology (no standard review procedure), Retunrs submitted but royalty (may be Hima deducts it when licensee supplies kaolin), No notice to gazette"
LL0911,"Nawata Mines Ltd (Gold, Kisita, Mubende)",12/8/10,2/2/12,"Notice to gazette not complied with, Review process leaves out AC/Geology (no standard review procedure), No returns, no notice of non-compliance"
LL0766,Okello Joseph Michael,11/1/11,14-6-11,"No notice to gazette, AC/geology should segregate duties to junior, Empty file, no returns, no notice of non-compliance."
LL0759,"Nicewood Logistics Ltd (Bitarabeho Nice, Pozzolana, Kabalore)",31-3-11,29-4-11,"No notice to gazette, Review process leaves out AC/Geology (no standard review procedure), Empty file, no returns, no notice of non-compliance"
LLO451,Wilson Bitibyampasa,18-3-09,19-6-09,"Notice to gazette not complied with twice, Transferred with no activity (10-7-09), Application for renewal accepted, Annual rent arrears, no royalty paid, No notice of non-compliance."
LL0349,Nzabonimpa Geoffrey,2/5/08,,"No returns no royalty, Expired with no royalty paid, no mineral rent paid, Renewed to new applicant, Gazette notice not complied with, Review only by AC/mines (Geology and geo-data left out), No returns, no royalty by all licensee."
LLO502,Majest Com (U) Ltd (Sam Bitangaro) ,25-6-09,2/9/09,"Incomplete application form (section 4), Gazette notice not complied with, No return, no royalty, licensee expired. Defaulted government in royalty, surface mineral rent, AC/geology should segregate duties to junior, Application review initiated by AC/Mines not commissioner."
LL0591,"Tungsten Minerals Ltd (Manganese ore, Ruhama, Ntungamo)",17-3-10,30-3-10,"Gazette notice not complied with Review process leaves out AC/Geology (no standard review procedure), Empty file, no returns, no royalty, no notice of non-compliance"
LL0459,United Pozzollana Peoples Association (UPPA) ltd ,6/7/09,27-7-09,"AC/geology should segregate duties to junior, Returns submitted through Hima Cement Ltd, how we can entrust Hima Cement Ltd to collect royalty for Government. No sign of royalty paid."
LL0458,Oli Gold Muruli Ltd ,30-6-09,22-7-09,"Renewed with no returns, Process initiated by AC/Mines, No returns, no royalty, no non-compliance notice"
LL0843,Bebito Investments Ltd,11/8/11,16-9-11,"Gazette notice not complied with by licensee, No returns, No notice of non-compliance, Empty file."
LL0818,"Ms Kamuntu Moses (Iron ore, Kashenyi)",,5/8/11,"Empty file, no return, Too much money for location licence (126,00,000/=) Amount is substantial for Location Licence (section 54 (2), Granted by Ag. PIM, No gazette notice, Review process leaves out AC/Geology (no standard review procedure)"
,,,,
"Notes: IOM = Inspector of Mines, SIM = Senior Inspector of Mines, PIM = Principal Inspector of Mines, AC = Assistant Commissioner",,,,
